NBA champion Kyle Kuzma looks to bring his team mentality to Scrum Ventures,https://techcrunch.com/2024/05/07/nba-champion-kyle-kuzma-looks-to-bring-his-team-mentality-to-scrum-ventures/,Kyle Kuzma is a lot of things. He’s a forward for the Washington Wizards NBA team and a 2020 NBA champion. He’s also a style icon — depending on who you ask — and an angel investor. No
"After a $20M Series A funding, Germany’s Insempra plans eco-friendly lipid production",https://techcrunch.com/2024/05/07/after-a-20m-series-a-funding-germanys-insempra-plans-eco-friendly-lipid-production/,Insempra plans to turn oil yeast in lipids on an industrial scale using yeast fermentation factories.
Tesla is Luminar’s largest lidar customer,https://techcrunch.com/2024/05/07/tesla-is-luminars-largest-lidar-customer/,Tesla CEO Elon Musk has said that lidar sensors are a “crutch” for autonomous vehicles. But his company has bought so many from Luminar that Tesla is now the lidar-maker’s top custom
Brandywine Realty Trust says data stolen in ransomware attack,https://techcrunch.com/2024/05/07/brandywine-realty-trust-cyberattack/,"U.S. realty trust giant Brandywine Realty Trust has confirmed a cyberattack that resulted in the theft of data from its network. In a filing with regulators on Tuesday, the Philadelphia-based Brandywi"
Rivian loses $1.45 billion as cost-cutting measures continue,https://techcrunch.com/2024/05/07/rivian-q1-2024-earnings-results-profit/,"Rivian lost $1.45 billion in the first quarter, showing that its recent company-wide cost-cutting measures have a ways to go before it can approach profitability. The EV-maker brought in $1.2 billion"
"Meta’s AI tools for advertisers can now create full new images, not just new backgrounds",https://techcrunch.com/2024/05/07/metas-ai-tools-for-advertisers-can-now-create-new-images-not-just-new-backgrounds/,Meta claims that it has strong guardrails in place to prevent its system from generating inappropriate ad content or low-quality images.
Biden signs bill to protect children from online sexual abuse and exploitation,https://techcrunch.com/2024/05/07/biden-signs-bill-to-protect-children-from-online-sexual-abuse-and-exploitation/,"On April 29, Senators Jon Ossoff (D-GA) and Marsha Blackburn (R-SC) proposed a bipartisan bill to protect children from online sexual exploitation. President Biden officially signed the REPORT Act int"
Bloom is reinventing how e-bikes are made in the US,https://techcrunch.com/2024/05/07/bloom-is-reinventing-how-e-bikes-are-made-in-the-us/,"The pandemic ushered in an e-bike boom. But like so many other pandemic trends, that boom didn’t last. The last year has seen e-bike startups VanMoof and Cake file for bankruptcy amid a backdrop"
Apple unveils a new Magic Keyboard at iPad event,https://techcrunch.com/2024/05/07/apple-unveils-a-new-magic-keyboard/,"At its iPad-focused event on Monday, Apple announced a new and improved Magic Keyboard, its keyboard accessory for iPad. The Magic Keyboard has been “completely redesigned” to be much thin"
"Apple highlights AI features, including M4 neural engine, at iPad event",https://techcrunch.com/2024/05/07/apple-teased-ai-improvements-including-the-m4s-neural-engine-at-its-ipad-event/,Tuesday's theme focused on the new hardware devices themselves — devices like new iPads and an updated Apple Pencil — not on the AI advances Apple is making under the hood.
"NYT Games launches a Wordle archive with access to more than 1,000 past puzzles",https://techcrunch.com/2024/05/07/nyt-games-wordle-archive-access-1000-past-puzzles/,"The New York Times Games announced on Tuesday that it’s launching a Wordle archive, offering subscribers access to more than 1,000 past Wordle puzzles. The company has started rolling out the"
Crypto? AI? Internet co-creator Robert Kahn already did it… decades ago,https://techcrunch.com/2024/05/07/crypto-ai-internet-co-creator-robert-kahn-already-did-it-decades-ago/,"Robert Kahn has been a consistent presence on the Internet since its creation — obviously, since he was its co-creator. But like many tech pioneers his resumé is longer than that and in fact his wo"
Bedrock Studio is Amazon’s attempt to simplify generative AI app development,https://techcrunch.com/2024/05/07/bedrock-studio-is-amazons-attempt-to-simplify-generative-ai-app-development/,"Amazon is launching a new tool, Bedrock Studio, designed to let organizations experiment with generative AI models, collaborate on those models, and ultimately build generative AI-powered apps. Availa"
A comprehensive list of 2024 tech layoffs,https://techcrunch.com/2024/05/07/tech-layoffs-2023-list/,"The tech layoff wave is still going strong in 2024. Following significant workforce reductions in 2022 and 2023, this year has already seen 60,000 job cuts across 254 companies, according to independe"
"India’s Oyo, once valued at $10 billion, seeks new funding at 70% discount",https://techcrunch.com/2024/05/07/india-oyo-once-valued-at-10b-seeks-new-funding-at-3b-valuation/,"Oyo, the Indian budget-hotel chain startup, is negotiating with investors to raise a new round of funding that could cut the Indian firm’s valuation to $3 billion or lower, three sources familia"
What we learned from the indictment of LockBit’s mastermind,https://techcrunch.com/2024/05/07/what-we-learned-from-the-indictment-of-lockbits-mastermind/,"On Tuesday, U.S. and U.K. authorities revealed that the mastermind behind LockBit, one of the most prolific and damaging ransomware groups in history, is a 31-year-old Russian named Dmitry Yuryevich K"
"Jumia is back, growing total sales and orders in Q1 2024",https://techcrunch.com/2024/05/07/jumia-is-back-growing-total-sales-and-orders-in-q1-2024/,"Jumia, an African e-tailer, attributes this growth to continued improvements in its supply and product assortment."
Inside Mercury’s competitive push into software and Ramp’s potential M&A targets,https://techcrunch.com/2024/05/07/fintech-5-7-24/,"Welcome to TechCrunch Fintech! This week, we’re looking at Mercury’s latest expansions, wallet-as-a-service startup Ansa’s raise and more! To get a roundup of TechCrunch’s biggest and most imp"
"Here’s everything Apple just announced at its Let Loose event, including new iPad Pro with M4 chip, iPad Air, Apple Pencil and more",https://techcrunch.com/2024/05/07/heres-everything-just-announced-apple-ipad-event-2024/,"Today is Apple iPad Event day, and we’re bringing you all the iPad goodness you can stand, summed up in a convenient package."
TikTok sues the US government over law that could ban the app,https://techcrunch.com/2024/05/07/tiktok-sues-the-us-government-over-law-seeking-to-ban-app/,"TikTok is suing the United States government in an effort to block a law that would ban TikTok if its parent company, ByteDance, fails to sell it within a year. The lawsuit, which was filed on Tuesday"
